,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
96,Volkswagen Polo Diesel Highline 1.2L,2013,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,57292650.0
98,Maruti Wagon R VXI BS IV,2016,62000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,91380750.0
101,Hyundai i20 Asta 1.2,2014,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,95487750.0
108,Mahindra XUV500 W8 2WD,2012,65000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7.0,118076250.0
110,Toyota Innova Crysta 2.8 ZX AT,2017,30000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,395298750.0
113,BMW 3 Series 320d Luxury Line,2015,56087,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,426101250.0
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,228143850.0
123,Maruti Wagon R LXI BS IV,2011,43874,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,50310750.0
127,Maruti Wagon R LXI CNG,2013,89900,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5.0,66738750.0
133,Maruti Alto K10 VXI,2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,53391000.0
136,Maruti Alto LXi BSIII,2010,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,32856000.0
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,44965,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,368603250.0
144,Toyota Fortuner 3.0 Diesel,2012,91235,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,277017150.0
149,BMW 3 Series Luxury Line,2014,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,544177500.0
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,478876200.0
151,Maruti Swift VDI,2016,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,128343750.0
156,Volkswagen Polo Diesel Trendline 1.2L,2012,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,71872500.0
158,Honda Brio S MT,2013,33280,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,49078650.0
163,Mahindra XUV500 W8 2WD,2012,32792,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,162226500.0
165,Toyota Fortuner 4x2 Manual,2012,131765,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,277222500.0
167,Ford Figo Diesel Titanium,2010,66123,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5.0,43123500.0
171,Hyundai i10 Magna 1.2,2013,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,56471250.0
174,Audi A6 2011-2015 2.0 TDI Premium Plus,2012,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5.0,390165000.0
177,Hyundai i20 Asta 1.4 CRDi,2014,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,171467250.0
178,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,40000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,471278250.0
180,Skoda Superb Elegance 1.8 TSI AT,2012,53537,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,141486150.0
182,BMW 5 Series 520d Luxury Line,2014,51000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,687922500.0
184,Volkswagen Polo Diesel Highline 1.2L,2012,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,86247000.0
188,Hyundai Verna 1.6 SX,2012,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,94461000.0
192,Ford Figo Diesel ZXI,2010,120000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,53391000.0
193,Maruti Ertiga ZDI,2016,33000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,174547500.0
195,Honda Amaze S i-Dtech,2014,52000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,71872500.0
196,Hyundai i10 Magna,2015,43571,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,72899250.0
197,Honda Amaze S i-Dtech,2013,50000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,66738750.0
199,Renault Duster 85PS Diesel RxL,2014,90000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,109862250.0
201,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,20000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,184815000.0
202,Hyundai i20 Asta Option 1.2,2016,61012,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,123210000.0
211,Hyundai Verna 1.6 SX,2012,117837,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5.0,97541250.0
221,Honda Amaze VX i-DTEC,2014,64000,Diesel,Manual,Second,25.8 kmpl,1498 CC,98.6 bhp,5.0,71872500.0
222,Maruti Wagon R LXI,2004,61000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,25668750.0
224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,29161,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,809284349.9999999
225,Maruti Wagon R VXI,2013,32000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,54417750.0
227,Maruti Swift VDI BSIV,2013,47000,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5.0,84193500.0
231,Chevrolet Beat LT,2016,60813,Petrol,Manual,Second,18.6 kmpl,1199 CC,76.8 bhp,5.0,68176200.0
232,Volkswagen Polo Diesel Comfortline 1.2L,2012,45000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,73926000.0
233,Maruti Swift ZDi,2016,64000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,139638000.0
234,Ford Figo Diesel EXI,2012,41284,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,51337500.0
239,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2015,55980,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,372094200.0
241,Hyundai i20 Sportz 1.4 CRDi,2015,56847,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,147852000.0
243,Maruti Ertiga VDI,2013,52000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,141691500.0
244,Toyota Innova 2.5 V Diesel 7-seater,2014,118000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,220751250.0
246,Honda City i VTEC V,2016,33915,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,166128150.0
247,BMW X1 sDrive20d,2014,82002,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,5.0,379897500.0
254,Hyundai i10 Era,2010,83000,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,35936250.0
258,Maruti Swift VXI BSIV,2017,27872,Petrol,Manual,Second,20.4 kmpl,1197 CC,81.80 bhp,5.0,122183250.0
260,Maruti Swift VDI,2012,120000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,77006250.0
263,Hyundai i20 1.2 Sportz,2010,52000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,57498000.0
267,Hyundai Creta 1.6 CRDi SX,2016,28000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,282356250.0
268,Maruti A-Star Vxi,2010,67000,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,41070000.0
272,Hyundai i10 Sportz,2010,36000,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,66738750.0
275,Maruti Swift VDI,2018,31025,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,146825250.0
280,Maruti Alto 800 LXI,2016,32227,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,66944099.99999999
281,Honda City 1.5 S MT,2011,55000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,86452350.0
284,Hyundai Verna 1.6 SX VTVT (O),2012,54308,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5.0,87889800.0
288,Volkswagen Vento Diesel Highline,2011,69000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,96514500.0
295,Hyundai i10 Magna 1.2,2010,74000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,63658500.0
296,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2015,77771,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,382772400.0
300,Toyota Innova 2.5 VX (Diesel) 7 Seater,2010,109000,Diesel,Manual,Second,12.99 kmpl,2494 CC,100.6 bhp,7.0,169619100.0
305,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,61726,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,426511950.0
308,Maruti Swift VDI BSIV,2011,60020,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5.0,51337500.0
309,Maruti Celerio VXI AT,2014,77815,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,87273750.0
317,Maruti Wagon R LXI BS IV,2012,65000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,54417750.0
318,Mahindra XUV500 W8 4WD,2015,88428,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,217671000.0
322,Maruti Swift Dzire VDi,2012,48000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,75979500.0
324,Honda City ZX GXi,2008,40000,Petrol,Manual,First,17.7 kmpl,1497 CC,78 bhp,5.0,36963000.0
325,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,51495,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,450743250.0
332,Maruti Swift VDI BSIV,2015,76496,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,126290250.0
333,Hyundai i20 Asta 1.2,2011,79152,Petrol,Manual,Second,18.5 kmpl,1197 CC,82.85 bhp,5.0,67765500.0
334,Volkswagen Polo Petrol Comfortline 1.2L,2011,32000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,52364250.0
335,Maruti Alto LXi,2009,35000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,30802500.0
337,Maruti Alto LXi,2006,56000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,28749000.0
339,Maruti Alto LXi,2012,38000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,46203750.0
342,Hyundai i20 Asta Option 1.2,2016,24973,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,157298100.0
344,Honda City 1.5 V MT,2010,87430,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,71872500.0
346,Honda Amaze S i-Dtech,2013,57000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,70845750.0
347,Hyundai EON D Lite Plus,2016,27904,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,72899250.0
348,BMW 3 Series Luxury Line,2015,30717,Diesel,Automatic,Second,21.76 kmpl,1995 CC,190 bhp,5.0,533704649.99999994
349,Hyundai Verna 1.6 SX,2012,80000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,107808750.0
352,Maruti Alto K10 VXI,2017,30000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,77006250.0
353,Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,68000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,138611250.0
358,Hyundai i10 Magna 1.2,2009,620000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,55444500.0
361,Nissan Micra Diesel XV,2011,83000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,56471250.0
362,Maruti Swift Dzire Tour LDI,2015,130000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,66738750.0
367,Maruti Alto 800 2016-2019 LXI,2018,26200,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,59551500.0
371,Hyundai Grand i10 AT Asta,2015,37081,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,118486949.99999999
373,Audi Q7 3.0 TDI Quattro Premium Plus,2008,99000,Diesel,Automatic,Third,12.07 kmpl,2967 CC,241.4 bhp,7.0,265928250.0
376,Renault Duster 85PS Diesel RxL,2015,93000,Diesel,Manual,Second,20.45 kmpl,1461 CC,83.8 bhp,5.0,145798500.0
379,Maruti Ritz VDi,2010,68000,Diesel,Manual,Second,21.1 kmpl,1248 CC,73.9 bhp,5.0,65712000.0
387,Honda City 1.5 S MT,2011,93982,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,77006250.0
390,Honda Amaze S i-Vtech,2015,52516,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,95487750.0
394,Maruti Wagon R VXI BS IV,2014,17400,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,63658500.0
395,Maruti Ritz LDi,2011,90207,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,80291850.0
405,Hyundai Verna 1.6 SX VTVT,2011,49768,Petrol,Manual,Second,17.01 kmpl,1591 CC,121.3 bhp,5.0,101648250.0
408,Skoda Superb Elegance 1.8 TSI AT,2010,57000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,148878750.0
411,Mercedes-Benz New C-Class 220 CDI AT,2013,35299,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,390165000.0
413,BMW 3 Series Luxury Line,2015,41000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,523642500.0
416,Hyundai Accent GLE,2005,5834,Petrol,Manual,First,13.2 kmpl,1495 CC,94 bhp,5.0,16428000.0
425,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2017,23163,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,247036050.0
430,Honda Brio S MT,2014,30000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5.0,65712000.0
433,Hyundai EON Era Plus,2018,13102,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,83372099.99999999
436,Maruti Alto 800 LXI,2016,34267,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,76800900.0
439,Honda City ZX GXi,2008,40000,Petrol,Manual,First,17.7 kmpl,1497 CC,78 bhp,5.0,41070000.0
445,Hyundai Creta 1.6 SX Plus Petrol Automatic,2017,29952,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,282766950.0
449,Mahindra XUV500 W8 2WD,2013,61672,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,154628550.0
454,Toyota Innova 2.5 V Diesel 7-seater,2015,80883,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,277222500.0
458,BMW 3 Series Luxury Line,2016,19235,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,749527500.0
461,Renault Duster 110PS Diesel RxL,2012,82749,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,123004650.0
463,Ford Ecosport 1.5 DV5 MT Titanium,2014,31465,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,133477500.0
465,Hyundai Grand i10 CRDi Magna,2017,14000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,94461000.0
467,Honda City 1.5 V MT,2011,48466,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,66944099.99999999
468,Hyundai Santro Xing GLS,2008,46000,Petrol,Manual,Second,17.92 kmpl,1086 CC,62.1 bhp,5.0,45587700.00000001
469,Toyota Innova 2.5 VX (Diesel) 7 Seater,2012,162663,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,7.0,215617500.0
476,Hyundai Grand i10 Sportz,2015,27000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,92407500.0
481,Ford Figo Diesel EXI,2011,75000,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5.0,46203750.0
484,Volkswagen Polo Diesel Comfortline 1.2L,2012,52000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,56471250.0
485,Maruti Ritz VDi,2011,91000,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,61605000.0
487,Hyundai Verna 1.6 SX,2013,37873,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,98568000.0
491,Hyundai Creta 1.6 CRDi AT SX Plus,2016,32000,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5.0,318292500.0
492,Hyundai i10 Era,2010,59000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,47641200.0
494,Maruti Ertiga VXI,2014,98000,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,112942500.0
500,Maruti Wagon R VXI,2011,75000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,53391000.0
502,Chevrolet Beat LS,2012,32717,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,52364250.0
504,Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,79000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,128343750.0
508,Hyundai Grand i10 Sportz,2017,8500,Petrol,Manual,Second,18.9 kmpl,1197 CC,82 bhp,5.0,98568000.0
511,Hyundai Santro Xing GLS,2009,80227,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,47230500.0
512,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2019,8587,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,278454600.0
515,Renault Duster 110PS Diesel RxZ,2015,76427,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,176190300.0
517,Toyota Etios G,2013,27075,Petrol,Manual,First,17.6 kmpl,1496 CC,88.73 bhp,5.0,101648250.0
518,Maruti Wagon R LXI,2012,30000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,67765500.0
520,Maruti Celerio VXI,2014,56000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,57292650.0
522,Chevrolet Beat LT,2014,8700,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5.0,52364250.0
526,Maruti Swift VXI,2019,20667,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,130807950.0
529,Toyota Fortuner 3.0 Diesel,2010,100000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,266955000.0
532,Maruti Ertiga VXI,2014,47399,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,114996000.0
539,Honda City i VTEC CVT VX,2015,41950,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,197136000.0
540,Toyota Fortuner 4x2 Manual,2012,109000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,272088750.0
542,Hyundai i20 Asta 1.4 CRDi,2014,43900,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,138611250.0
546,Toyota Innova 2.5 VX (Diesel) 7 Seater,2012,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,7.0,195287850.0
548,Renault Duster 110PS Diesel RxZ,2015,73539,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,138611250.0
550,Honda City ZX GXi,2009,69690,Petrol,Manual,First,17.7 kmpl,1497 CC,78 bhp,5.0,67560150.0
552,Maruti Swift Dzire VXi,2010,109200,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,45177000.0
553,Mahindra XUV500 W6 2WD,2012,80000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,133477500.0
555,Maruti Ertiga ZDI,2013,105000,Diesel,Manual,Second,25.47 kmpl,1248 CC,88.50 bhp,7.0,138611250.0
556,Toyota Etios Liva GD,2013,179000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.04 bhp,5.0,78033000.0
559,Volkswagen Polo 1.5 TDI Highline,2015,50000,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,127317000.0
563,BMW 3 Series 320d Luxury Line,2014,47000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,523642500.0
565,Honda Amaze VX i-DTEC,2015,62550,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,114996000.0
566,Jaguar XF 2.2 Litre Luxury,2015,37340,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,615639300.0
567,Maruti Swift Dzire VDI,2016,38461,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,151753650.0
570,Honda City 1.5 V MT,2011,42086,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,68792250.0
574,Maruti Swift VDI,2014,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,107808750.0
576,Audi A6 2011-2015 2.0 TDI Premium Plus,2012,202082,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,252580500.0
578,Volkswagen Polo 1.5 TDI Highline,2018,33558,Diesel,Manual,First,20.14 kmpl,1498 CC,88 bhp,5.0,166744199.99999997
582,Hyundai i20 1.2 Spotz,2016,42362,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,126290250.0
585,Toyota Fortuner 4x2 AT,2015,43690,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,351353850.0
587,Maruti Ertiga VDI,2013,53073,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,122183250.0
588,Hyundai i20 1.2 Magna,2015,59000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,118076250.0
590,Renault Duster 85PS Diesel RxL,2014,55000,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,97541250.0
592,Toyota Fortuner 4x2 AT,2013,71932,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,338827500.0
594,Maruti Swift Dzire VDi,2011,81759,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,90148650.0
599,Toyota Innova Crysta 2.8 ZX AT,2019,40674,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,509678700.0
605,Mahindra XUV500 W10 2WD,2015,73000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,256687500.0
